id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
23453,Polska,będziński,Psary,Psary,Kolejowa,11,,05694234afc5f527e1c446bf8a01eef2a3ffbfff
23481,Polska,będziński,Psary,Psary,Wiejska,173,,a35e0fc2ddbeecc270ab1ff8a70eebd87290499c
23900,Polska,będziński,Psary,Psary,Wiejska,81,,6da1bd55754664ead683db7b3b22c31cd57676ce
23949,Polska,będziński,Psary,Strzyżowice,"1 Maja",54,,6fd561e685010056d2453201b239d16c09bc5cd2
24008,Polska,będziński,Psary,Dąbie,Pocztowa,7,,10d7ab8b008a28646f2f63f16ee7d80883a9d624
24014,Polska,będziński,Psary,Sarnów,Krótka,6a,,df631fd68a5ea088da67194fb2fd7df593b50b63
24058,Polska,będziński,Psary,Psary,Wiejska,133,,034f94191d6201fbb716dc4d8553ae471dde7668
24238,Polska,cieszyński,Strumień,Pruchna,"Nowy Świat",46,43523,edae46a81bad50d99726c4e62ea9518a652c13c3
24250,Polska,cieszyński,Strumień,Drogomyśl,Wierzbina,13,43424,dc33ab2714103f7cb9663400eea5b855c5f1e037
24479,Polska,cieszyński,Ustroń,Ustroń,Uzdrowiskowa,10,43450,9c32cbd6b54e41c00b7fd6aa57b0b9a57012894b
